OBJECTID,SA2011,node_dist,stop_dist,centre_in,node_in,stop_in,iso_cutoff,iso_date,iso_type,iso_hectar,centre_X,centre_Y,node_X,node_Y,stop_X,stop_Y,SHAPE_Length,SHAPE_Area
35,N00000009,20,1041,1,1,0,2700,12/6/2022,from_centroid,1006,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,19257.02677,3364576.971
36,N00000009,20,1041,1,1,0,3600,12/6/2022,from_centroid,1006,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,19257.02677,3364576.971
37,N00000010,33,266,1,1,1,900,12/6/2022,from_centroid,494,316958.46,380721.87,316925.61,380722.44,317183.81,380863.81,10497.28428,1656828.6
38,N00000010,33,266,1,1,1,1800,12/6/2022,from_centroid,3903,316958.46,380721.87,316925.61,380722.44,317183.81,380863.81,59088.26826,13110850.54
39,N00000010,33,266,1,1,1,2700,12/6/2022,from_centroid,7411,316958.46,380721.87,316925.61,380722.44,317183.81,380863.81,112332.9009,24870855.04
40,N00000010,33,266,1,1,1,3600,12/6/2022,from_centroid,11904,316958.46,380721.87,316925.61,380722.44,317183.81,380863.81,175805.5632,39942031.72
41,N00000011,13,100,1,0,0,900,12/6/2022,from_centroid,688,314540.31,385804.87,314549.78,385814.19,314611.99,385735.54,15738.38516,2302887.471
42,N00000011,13,100,1,0,0,1800,12/6/2022,from_centroid,3918,314540.31,385804.87,314549.78,385814.19,314611.99,385735.54,51170.68371,13116883.91
43,N00000011,13,100,1,0,0,2700,12/6/2022,from_centroid,9385,314540.31,385804.87,314549.78,385814.19,314611.99,385735.54,106463.1774,31404845.12
44,N00000011,13,100,1,0,0,3600,12/6/2022,from_centroid,15759,314540.31,385804.87,314549.78,385814.19,314611.99,385735.54,176975.5473,52721727.1
45,N00000012,21,66,1,1,1,900,12/6/2022,from_centroid,673,314725.32,385659.87,314745.99,385664.74,314750.99,385599.54,15910.0384,2254544.585
46,N00000012,21,66,1,1,1,1800,12/6/2022,from_centroid,3837,314725.32,385659.87,314745.99,385664.74,314750.99,385599.54,49212.70749,12852065.88
47,N00000012,21,66,1,1,1,2700,12/6/2022,from_centroid,9044,314725.32,385659.87,314745.99,385664.74,314750.99,385599.54,103350.9821,30269570.02
48,N00000012,21,66,1,1,1,3600,12/6/2022,from_centroid,15019,314725.32,385659.87,314745.99,385664.74,314750.99,385599.54,175669.2557,50266612.43
49,N00000013,47,153,1,1,1,900,12/6/2022,from_centroid,721,314743.3,386136.87,314790.36,386139.45,314817.67,386003.47,13694.16771,2406390.195
50,N00000013,47,153,1,1,1,1800,12/6/2022,from_centroid,6673,314743.3,386136.87,314790.36,386139.45,314817.67,386003.47,88706.5438,22312695.49
51,N00000013,47,153,1,1,1,2700,12/6/2022,from_centroid,14734,314743.3,386136.87,314790.36,386139.45,314817.67,386003.47,204286.5542,49254893.46
52,N00000013,47,153,1,1,1,3600,12/6/2022,from_centroid,23878,314743.3,386136.87,314790.36,386139.45,314817.67,386003.47,303168.0867,79852263.89
53,N00000014,18,128,1,1,0,900,12/6/2022,from_centroid,720,314944.31,386022.87,314962.23,386026.54,314817.67,386003.47,13064.10054,2414780.649
54,N00000014,18,128,1,1,0,1800,12/6/2022,from_centroid,6817,314944.31,386022.87,314962.23,386026.54,314817.67,386003.47,95902.28135,22808077.91
55,N00000014,18,128,1,1,0,2700,12/6/2022,from_centroid,16341,314944.31,386022.87,314962.23,386026.54,314817.67,386003.47,222402.0339,54652098.3
56,N00000014,18,128,1,1,0,3600,12/6/2022,from_centroid,26380,314944.31,386022.87,314962.23,386026.54,314817.67,386003.47,320716.0862,88232273.52
57,N00000015,26,164,1,1,0,900,12/6/2022,from_centroid,263,314561.31,386028.87,314584.62,386018.44,314679.81,385915.48,7564.889818,877358.0836
58,N00000015,26,164,1,1,0,1800,12/6/2022,from_centroid,2858,314561.31,386028.87,314584.62,386018.44,314679.81,385915.48,41101.74809,9562843.005
59,N00000015,26,164,1,1,0,2700,12/6/2022,from_centroid,6991,314561.31,386028.87,314584.62,386018.44,314679.81,385915.48,87618.50358,23384806.8
60,N00000015,26,164,1,1,0,3600,12/6/2022,from_centroid,11573,314561.31,386028.87,314584.62,386018.44,314679.81,385915.48,149020.4863,38706699.97
61,N00000016,18,84,1,1,0,900,12/6/2022,from_centroid,694,314609.31,385848.87,314601.98,385865.36,314691.08,385829.79,15865.4891,2324428.934
62,N00000016,18,84,1,1,0,1800,12/6/2022,from_centroid,3972,314609.31,385848.87,314601.98,385865.36,314691.08,385829.79,49582.35137,13298241
63,N00000016,18,84,1,1,0,2700,12/6/2022,from_centroid,9452,314609.31,385848.87,314601.98,385865.36,314691.08,385829.79,110743.251,31638595.99
64,N00000016,18,84,1,1,0,3600,12/6/2022,from_centroid,15872,314609.31,385848.87,314601.98,385865.36,314691.08,385829.79,182262.4767,53131915.87
65,N00000017,28,292,1,1,0,900,12/6/2022,from_centroid,423,316858.33,385937.87,316834.34,385922.63,316893.56,385647.62,7496.28027,1417936.929
66,N00000017,28,292,1,1,0,1800,12/6/2022,from_centroid,6172,316858.33,385937.87,316834.34,385922.63,316893.56,385647.62,81122.27361,20651190.25
67,N00000017,28,292,1,1,0,2700,12/6/2022,from_centroid,15472,316858.33,385937.87,316834.34,385922.63,316893.56,385647.62,189768.74,51766103.22
68,N00000017,28,292,1,1,0,3600,12/6/2022,from_centroid,28916,316858.33,385937.87,316834.34,385922.63,316893.56,385647.62,305597.2451,96830584.21
69,N00000018,18,142,1,1,1,900,12/6/2022,from_centroid,1779,316845.33,385780.87,316856.41,385795.15,316893.56,385647.62,30840.6766,5959095.24
70,N00000018,18,142,1,1,1,1800,12/6/2022,from_centroid,10042,316845.33,385780.87,316856.41,385795.15,316893.56,385647.62,118165.0983,33618180.16
71,N00000018,18,142,1,1,1,2700,12/6/2022,from_centroid,24176,316845.33,385780.87,316856.41,385795.15,316893.56,385647.62,246948.8545,80867684.57
72,N00000018,18,142,1,1,1,3600,12/6/2022,from_centroid,38351,316845.33,385780.87,316856.41,385795.15,316893.56,385647.62,360896.7957,128334069.2
73,N00000019,26,245,1,1,1,900,12/6/2022,from_centroid,207,317041.32,386009.87,317037.94,386036,317286.32,386024.06,3334.16925,690327.8657
74,N00000019,26,245,1,1,1,1800,12/6/2022,from_centroid,5216,317041.32,386009.87,317037.94,386036,317286.32,386024.06,74280.31689,17469047.73
75,N00000019,26,245,1,1,1,2700,12/6/2022,from_centroid,13478,317041.32,386009.87,317037.94,386036,317286.32,386024.06,170889.4638,45111202.77
76,N00000019,26,245,1,1,1,3600,12/6/2022,from_centroid,27446,317041.32,386009.87,317037.94,386036,317286.32,386024.06,297707.2872,91926037.16
77,N00000020,17,203,1,1,0,900,12/6/2022,from_centroid,997,317017.33,385807.87,317026.7,385822,316893.56,385647.62,22016.67447,3336558.058
78,N00000020,17,203,1,1,0,1800,12/6/2022,from_centroid,8800,317017.33,385807.87,317026.7,385822,316893.56,385647.62,105193.2313,29458702.78
79,N00000020,17,203,1,1,0,2700,12/6/2022,from_centroid,21522,317017.33,385807.87,317026.7,385822,316893.56,385647.62,235789.006,71993566.75
80,N00000020,17,203,1,1,0,3600,12/6/2022,from_centroid,34373,317017.33,385807.87,317026.7,385822,316893.56,385647.62,331535.6523,115002814.8
81,N00000021,18,108,1,1,1,900,12/6/2022,from_centroid,1056,317490.33,385753.87,317474.26,385761.36,317557.96,385838.56,24106.95749,3532447.908
82,N00000021,18,108,1,1,1,1800,12/6/2022,from_centroid,8821,317490.33,385753.87,317474.26,385761.36,317557.96,385838.56,107588.2427,29515703.58
83,N00000021,18,108,1,1,1,2700,12/6/2022,from_centroid,21564,317490.33,385753.87,317474.26,385761.36,317557.96,385838.56,227368.0167,72136182.61
84,N00000021,18,108,1,1,1,3600,12/6/2022,from_centroid,33523,317490.33,385753.87,317474.26,385761.36,317557.96,385838.56,318436.6245,112140650.8
85,N00000022,15,58,1,1,1,900,12/6/2022,from_centroid,1630,317317.33,385704.87,317324.05,385691.27,317357.24,385663.17,26500.1381,5453097.181
86,N00000022,15,58,1,1,1,1800,12/6/2022,from_centroid,9555,317317.33,385704.87,317324.05,385691.27,317357.24,385663.17,115501.2497,31987905.46
87,N00000022,15,58,1,1,1,2700,12/6/2022,from_centroid,23173,317317.33,385704.87,317324.05,385691.27,317357.24,385663.17,242131.9132,77545476.3
88,N00000022,15,58,1,1,1,3600,12/6/2022,from_centroid,38225,317317.33,385704.87,317324.05,385691.27,317357.24,385663.17,368511.7063,127917774.3
89,N00000023,21,215,1,1,1,900,12/6/2022,from_centroid,1202,317167.33,385769.87,317180.67,385785.94,317199.97,385557.56,25185.35197,4026955.272
90,N00000023,21,215,1,1,1,1800,12/6/2022,from_centroid,9291,317167.33,385769.87,317180.67,385785.94,317199.97,385557.56,109336.7442,31103817.51
91,N00000023,21,215,1,1,1,2700,12/6/2022,from_centroid,22833,317167.33,385769.87,317180.67,385785.94,317199.97,385557.56,244415.9952,76394174.48
92,N00000023,21,215,1,1,1,3600,12/6/2022,from_centroid,35444,317167.33,385769.87,317180.67,385785.94,317199.97,385557.56,340309.3251,118591465.6
93,N00000024,21,1030,1,1,1,900,12/6/2022,from_centroid,463,321223.49,380840.87,321208.01,380855.76,322147.3,381294.64,7520.149876,1551777.27
94,N00000024,21,1030,1,1,1,1800,12/6/2022,from_centroid,1154,321223.49,380840.87,321208.01,380855.76,322147.3,381294.64,17277.48843,3862746.678
95,N00000024,21,1030,1,1,1,2700,12/6/2022,from_centroid,1154,321223.49,380840.87,321208.01,380855.76,322147.3,381294.64,17277.48843,3862746.678
96,N00000024,21,1030,1,1,1,3600,12/6/2022,from_centroid,1154,321223.49,380840.87,321208.01,380855.76,322147.3,381294.64,17277.48843,3862746.678
97,N00000025,29,1148,1,1,0,900,12/6/2022,from_centroid,247,322917.55,378907.87,322931.82,378882.73,324020.14,378588.87,4325.480273,832467.6121
98,N00000025,29,1148,1,1,0,1800,12/6/2022,from_centroid,534,322917.55,378907.87,322931.82,378882.73,324020.14,378588.87,8865.601427,1795801.788
99,N00000025,29,1148,1,1,0,2700,12/6/2022,from_centroid,534,322917.55,378907.87,322931.82,378882.73,324020.14,378588.87,8865.601427,1795801.788
100,N00000025,29,1148,1,1,0,3600,12/6/2022,from_centroid,534,322917.55,378907.87,322931.82,378882.73,324020.14,378588.87,8865.601427,1795801.788
101,N00000026,59,1327,1,1,1,900,12/6/2022,from_centroid,269,319631.52,379228.87,319688.23,379212.03,319422.66,377918.49,4547.937593,900306.0283
102,N00000026,59,1327,1,1,1,1800,12/6/2022,from_centroid,675,319631.52,379228.87,319688.23,379212.03,319422.66,377918.49,10414.30948,2260945.689
103,N00000026,59,1327,1,1,1,2700,12/6/2022,from_centroid,675,319631.52,379228.87,319688.23,379212.03,319422.66,377918.49,10414.30948,2260945.689
104,N00000026,59,1327,1,1,1,3600,12/6/2022,from_centroid,675,319631.52,379228.87,319688.23,379212.03,319422.66,377918.49,10414.30948,2260945.689
105,N00000027,20,1001,1,1,0,900,12/6/2022,from_centroid,148,316807.57,376135.87,316810.84,376155.2,315836.03,376374.62,3359.607508,497210.6252
106,N00000027,20,1001,1,1,0,1800,12/6/2022,from_centroid,1326,316807.57,376135.87,316810.84,376155.2,315836.03,376374.62,25244.33685,4452406.04
107,N00000027,20,1001,1,1,0,2700,12/6/2022,from_centroid,2174,316807.57,376135.87,316810.84,376155.2,315836.03,376374.62,44910.34328,7289737.898
108,N00000027,20,1001,1,1,0,3600,12/6/2022,from_centroid,3416,316807.57,376135.87,316810.84,376155.2,315836.03,376374.62,74098.64449,11460696.07
109,N00000028,18,153,1,1,1,900,12/6/2022,from_centroid,1119,315805.56,376224.87,315796.11,376209.78,315836.03,376374.62,19889.83591,3757042.433
110,N00000028,18,153,1,1,1,1800,12/6/2022,from_centroid,7740,315805.56,376224.87,315796.11,376209.78,315836.03,376374.62,116241.7756,26002478.37
111,N00000028,18,153,1,1,1,2700,12/6/2022,from_centroid,16670,315805.56,376224.87,315796.11,376209.78,315836.03,376374.62,243221.7607,56039538.72
112,N00000028,18,153,1,1,1,3600,12/6/2022,from_centroid,30227,315805.56,376224.87,315796.11,376209.78,315836.03,376374.62,366840.1372,101660414.1
113,N00000029,11,1677,1,1,0,900,12/6/2022,from_centroid,331,323254.46,382582.87,323260.16,382592.21,322191.77,381285.94,5623.928414,1108604.218
114,N00000029,11,1677,1,1,0,1800,12/6/2022,from_centroid,873,323254.46,382582.87,323260.16,382592.21,322191.77,381285.94,13227.41672,2920466.662
115,N00000029,11,1677,1,1,0,2700,12/6/2022,from_centroid,873,323254.46,382582.87,323260.16,382592.21,322191.77,381285.94,13227.41672,2920466.662
116,N00000029,11,1677,1,1,0,3600,12/6/2022,from_centroid,873,323254.46,382582.87,323260.16,382592.21,322191.77,381285.94,13227.41672,2920466.662
117,N00000030,21,1005,1,1,1,900,12/6/2022,from_centroid,270,326328.57,379416.87,326328.33,379437.41,325594.16,378730.54,5409.178884,906326.1705
118,N00000030,21,1005,1,1,1,1800,12/6/2022,from_centroid,692,326328.57,379416.87,326328.33,379437.41,325594.16,378730.54,12882.8678,2319812.959
119,N00000030,21,1005,1,1,1,2700,12/6/2022,from_centroid,692,326328.57,379416.87,326328.33,379437.41,325594.16,378730.54,12882.8678,2319812.959
120,N00000030,21,1005,1,1,1,3600,12/6/2022,from_centroid,692,326328.57,379416.87,326328.33,379437.41,325594.16,378730.54,12882.8678,2319812.959
121,N00000031,21,2935,1,1,0,900,12/6/2022,from_centroid,244,305904.23,386636.87,305924.6,386630.19,305659.04,389560.46,4318.125028,819399.8802
122,N00000031,21,2935,1,1,0,1800,12/6/2022,from_centroid,597,305904.23,386636.87,305924.6,386630.19,305659.04,389560.46,8643.600427,1999113.542
123,N00000031,21,2935,1,1,0,2700,12/6/2022,from_centroid,597,305904.23,386636.87,305924.6,386630.19,305659.04,389560.46,8643.600427,1999113.542
124,N00000031,21,2935,1,1,0,3600,12/6/2022,from_centroid,597,305904.23,386636.87,305924.6,386630.19,305659.04,389560.46,8643.600427,1999113.542
125,N00000032,102,394,1,1,0,900,12/6/2022,from_centroid,409,307604.17,389372.87,307513.24,389419.31,307652.57,389763.32,11023.27743,1362791.141
